Sr.No.,,,qr
1,,,upi://pay?pa=fcbizn5unyc@freecharge&pn=FreechargeMerchant&mc=5331&cu=INR
2,,,upi://pay?pa=fcbiz3v7wd6@freecharge&pn=FreechargeMerchant&mc=5331&cu=INR
3,,,upi://pay?pa=fcbizhw7tz6@freecharge&pn=FreechargeMerchant&mc=5331&cu=INR
4,,,upi://pay?pa=fcbizdeazyr@freecharge&pn=FreechargeMerchant&mc=5331&cu=INR
5,,,upi://pay?pa=fcbizg9ezrh@freecharge&pn=FreechargeMerchant&mc=5331&cu=INR
6,,,upi://pay?pa=fcbiz25ctob@freecharge&pn=FreechargeMerchant&mc=5331&cu=INR
7,,,upi://pay?pa=fcbizyarvtl@freecharge&pn=FreechargeMerchant&mc=5331&cu=INR
8,,,upi://pay?pa=fcbizoai9l6@freecharge&pn=FreechargeMerchant&mc=5331&cu=INR
9,,,upi://pay?pa=fcbizcx3k4u@freecharge&pn=FreechargeMerchant&mc=5331&cu=INR
10,,,upi://pay?pa=fcbizkadgl1@freecharge&pn=FreechargeMerchant&mc=5331&cu=INR
11,,,upi://pay?pa=fcbizv6t1dt@freecharge&pn=FreechargeMerchant&mc=5331&cu=INR
12,,,upi://pay?pa=fcbizoog0fq@freecharge&pn=FreechargeMerchant&mc=5331&cu=INR
13,,,upi://pay?pa=fcbizkatjcf@freecharge&pn=FreechargeMerchant&mc=5331&cu=INR
14,,,upi://pay?pa=fcbiz782zup@freecharge&pn=FreechargeMerchant&mc=5331&cu=INR
15,,,upi://pay?pa=fcbiz1nhu94@freecharge&pn=FreechargeMerchant&mc=5331&cu=INR
16,,,upi://pay?pa=fcbizdemrmg@freecharge&pn=FreechargeMerchant&mc=5331&cu=INR
17,,,upi://pay?pa=fcbizj5qkuc@freecharge&pn=FreechargeMerchant&mc=5331&cu=INR
18,,,upi://pay?pa=fcbizq3nhjr@freecharge&pn=FreechargeMerchant&mc=5331&cu=INR
19,,,upi://pay?pa=fcbizrr55ks@freecharge&pn=FreechargeMerchant&mc=5331&cu=INR
20,,,upi://pay?pa=fcbiznucslb@freecharge&pn=FreechargeMerchant&mc=5331&cu=INR
21,,,upi://pay?pa=fcbizh5sudd@freecharge&pn=FreechargeMerchant&mc=5331&cu=INR
22,,,upi://pay?pa=fcbizuyjqii@freecharge&pn=FreechargeMerchant&mc=5331&cu=INR
23,,,upi://pay?pa=fcbizonihlh@freecharge&pn=FreechargeMerchant&mc=5331&cu=INR
24,,,upi://pay?pa=fcbiziagzcw@freecharge&pn=FreechargeMerchant&mc=5331&cu=INR
25,,,upi://pay?pa=fcbizj0cfqk@freecharge&pn=FreechargeMerchant&mc=5331&cu=INR
26,,,upi://pay?pa=fcbiz4rqhcf@freecharge&pn=FreechargeMerchant&mc=5331&cu=INR
27,,,upi://pay?pa=fcbizfcrtmk@freecharge&pn=FreechargeMerchant&mc=5331&cu=INR
28,,,upi://pay?pa=fcbizlv0yjr@freecharge&pn=FreechargeMerchant&mc=5331&cu=INR
29,,,upi://pay?pa=fcbiziotoks@freecharge&pn=FreechargeMerchant&mc=5331&cu=INR
30,,,upi://pay?pa=fcbiznx3cpw@freecharge&pn=FreechargeMerchant&mc=5331&cu=INR
31,,,upi://pay?pa=fcbizf8rig0@freecharge&pn=FreechargeMerchant&mc=5331&cu=INR
32,,,upi://pay?pa=fcbizw0tlgz@freecharge&pn=FreechargeMerchant&mc=5331&cu=INR
33,,,upi://pay?pa=fcbize0pwmw@freecharge&pn=FreechargeMerchant&mc=5331&cu=INR
34,,,upi://pay?pa=fcbizbzotxz@freecharge&pn=FreechargeMerchant&mc=5331&cu=INR
35,,,upi://pay?pa=fcbizsu5qri@freecharge&pn=FreechargeMerchant&mc=5331&cu=INR
36,,,upi://pay?pa=fcbiztz6iyc@freecharge&pn=FreechargeMerchant&mc=5331&cu=INR
37,,,upi://pay?pa=fcbizwuxxjq@freecharge&pn=FreechargeMerchant&mc=5331&cu=INR
38,,,upi://pay?pa=fcbizwznn5u@freecharge&pn=FreechargeMerchant&mc=5331&cu=INR
39,,,upi://pay?pa=fcbizdwfhic@freecharge&pn=FreechargeMerchant&mc=5331&cu=INR
40,,,upi://pay?pa=fcbizd8qsgz@freecharge&pn=FreechargeMerchant&mc=5331&cu=INR
41,,,upi://pay?pa=fcbizaxnptc@freecharge&pn=FreechargeMerchant&mc=5331&cu=INR
42,,,upi://pay?pa=fcbiz7m4pg7@freecharge&pn=FreechargeMerchant&mc=5331&cu=INR
43,,,upi://pay?pa=fcbiztbggph@freecharge&pn=FreechargeMerchant&mc=5331&cu=INR
44,,,upi://pay?pa=fcbizwcz3ic@freecharge&pn=FreechargeMerchant&mc=5331&cu=INR
45,,,upi://pay?pa=fcbizd3wve1@freecharge&pn=FreechargeMerchant&mc=5331&cu=INR
46,,,upi://pay?pa=fcbizn1egpi@freecharge&pn=FreechargeMerchant&mc=5331&cu=INR
47,,,upi://pay?pa=fcbiz8y6fgx@freecharge&pn=FreechargeMerchant&mc=5331&cu=INR
48,,,upi://pay?pa=fcbizhqfsue@freecharge&pn=FreechargeMerchant&mc=5331&cu=INR
49,,,upi://pay?pa=fcbizhyamep@freecharge&pn=FreechargeMerchant&mc=5331&cu=INR
50,,,upi://pay?pa=fcbizil7yzr@freecharge&pn=FreechargeMerchant&mc=5331&cu=INR
51,,,upi://pay?pa=fcbizs3gb3q@freecharge&pn=FreechargeMerchant&mc=5331&cu=INR
52,,,upi://pay?pa=fcbizri0zh2@freecharge&pn=FreechargeMerchant&mc=5331&cu=INR
53,,,upi://pay?pa=fcbizxhdygd@freecharge&pn=FreechargeMerchant&mc=5331&cu=INR
54,,,upi://pay?pa=fcbizundrjs@freecharge&pn=FreechargeMerchant&mc=5331&cu=INR
55,,,upi://pay?pa=fcbizraygv9@freecharge&pn=FreechargeMerchant&mc=5331&cu=INR
56,,,upi://pay?pa=fcbizrke2dn@freecharge&pn=FreechargeMerchant&mc=5331&cu=INR
57,,,upi://pay?pa=fcbizmzj1ef@freecharge&pn=FreechargeMerchant&mc=5331&cu=INR
58,,,upi://pay?pa=fcbiz18p97a@freecharge&pn=FreechargeMerchant&mc=5331&cu=INR
59,,,upi://pay?pa=fcbizrjzlb0@freecharge&pn=FreechargeMerchant&mc=5331&cu=INR
60,,,upi://pay?pa=fcbizki0owb@freecharge&pn=FreechargeMerchant&mc=5331&cu=INR
61,,,upi://pay?pa=fcbiz1xeze3@freecharge&pn=FreechargeMerchant&mc=5331&cu=INR
62,,,upi://pay?pa=fcbizi2tluv@freecharge&pn=FreechargeMerchant&mc=5331&cu=INR
63,,,upi://pay?pa=fcbizaxvdhk@freecharge&pn=FreechargeMerchant&mc=5331&cu=INR
64,,,upi://pay?pa=fcbizequqyn@freecharge&pn=FreechargeMerchant&mc=5331&cu=INR
65,,,upi://pay?pa=fcbizhr9xv7@freecharge&pn=FreechargeMerchant&mc=5331&cu=INR
66,,,upi://pay?pa=fcbizfmjpq2@freecharge&pn=FreechargeMerchant&mc=5331&cu=INR
67,,,upi://pay?pa=fcbizfho4fb@freecharge&pn=FreechargeMerchant&mc=5331&cu=INR
68,,,upi://pay?pa=fcbiz0opzt1@freecharge&pn=FreechargeMerchant&mc=5331&cu=INR
69,,,upi://pay?pa=fcbiz6iujaz@freecharge&pn=FreechargeMerchant&mc=5331&cu=INR
70,,,upi://pay?pa=fcbiziy5u2o@freecharge&pn=FreechargeMerchant&mc=5331&cu=INR
71,,,upi://pay?pa=fcbizxcjdr5@freecharge&pn=FreechargeMerchant&mc=5331&cu=INR
72,,,upi://pay?pa=fcbizackbnc@freecharge&pn=FreechargeMerchant&mc=5331&cu=INR
73,,,upi://pay?pa=fcbizbngy0q@freecharge&pn=FreechargeMerchant&mc=5331&cu=INR
74,,,upi://pay?pa=fcbiz4br0s2@freecharge&pn=FreechargeMerchant&mc=5331&cu=INR
75,,,upi://pay?pa=fcbizjypeqb@freecharge&pn=FreechargeMerchant&mc=5331&cu=INR
76,,,upi://pay?pa=fcbizhtxgvv@freecharge&pn=FreechargeMerchant&mc=5331&cu=INR
77,,,upi://pay?pa=fcbizbo8jnt@freecharge&pn=FreechargeMerchant&mc=5331&cu=INR
78,,,upi://pay?pa=fcbiz8kpjjq@freecharge&pn=FreechargeMerchant&mc=5331&cu=INR
79,,,upi://pay?pa=fcbiz1ijahn@freecharge&pn=FreechargeMerchant&mc=5331&cu=INR
80,,,upi://pay?pa=fcbizsedjqp@freecharge&pn=FreechargeMerchant&mc=5331&cu=INR
81,,,upi://pay?pa=fcbizkkdoaz@freecharge&pn=FreechargeMerchant&mc=5331&cu=INR
82,,,upi://pay?pa=fcbizhhd8z5@freecharge&pn=FreechargeMerchant&mc=5331&cu=INR
83,,,upi://pay?pa=fcbizhlpyoy@freecharge&pn=FreechargeMerchant&mc=5331&cu=INR
84,,,upi://pay?pa=fcbiz9avxon@freecharge&pn=FreechargeMerchant&mc=5331&cu=INR
85,,,upi://pay?pa=fcbizts8lmh@freecharge&pn=FreechargeMerchant&mc=5331&cu=INR
86,,,upi://pay?pa=fcbizh1omwz@freecharge&pn=FreechargeMerchant&mc=5331&cu=INR
87,,,upi://pay?pa=fcbizu6iwqd@freecharge&pn=FreechargeMerchant&mc=5331&cu=INR
88,,,upi://pay?pa=fcbizo6aw3f@freecharge&pn=FreechargeMerchant&mc=5331&cu=INR
89,,,upi://pay?pa=fcbizcr33y1@freecharge&pn=FreechargeMerchant&mc=5331&cu=INR
90,,,upi://pay?pa=fcbizl1wdda@freecharge&pn=FreechargeMerchant&mc=5331&cu=INR
91,,,upi://pay?pa=fcbiz45vpkl@freecharge&pn=FreechargeMerchant&mc=5331&cu=INR
92,,,upi://pay?pa=fcbizlolpwa@freecharge&pn=FreechargeMerchant&mc=5331&cu=INR
93,,,upi://pay?pa=fcbizydg7nd@freecharge&pn=FreechargeMerchant&mc=5331&cu=INR
94,,,upi://pay?pa=fcbizzij0rl@freecharge&pn=FreechargeMerchant&mc=5331&cu=INR
95,,,upi://pay?pa=fcbized0gwo@freecharge&pn=FreechargeMerchant&mc=5331&cu=INR
96,,,upi://pay?pa=fcbizhe5juu@freecharge&pn=FreechargeMerchant&mc=5331&cu=INR
97,,,upi://pay?pa=fcbizv0yqrq@freecharge&pn=FreechargeMerchant&mc=5331&cu=INR
98,,,upi://pay?pa=fcbizfpktas@freecharge&pn=FreechargeMerchant&mc=5331&cu=INR
99,,,upi://pay?pa=fcbiznlrbc2@freecharge&pn=FreechargeMerchant&mc=5331&cu=INR
100,,,upi://pay?pa=fcbiznvevaz@freecharge&pn=FreechargeMerchant&mc=5331&cu=INR
101,,,upi://pay?pa=fcbizvawjtt@freecharge&pn=FreechargeMerchant&mc=5331&cu=INR
102,,,upi://pay?pa=fcbizbnkaqh@freecharge&pn=FreechargeMerchant&mc=5331&cu=INR
103,,,upi://pay?pa=fcbizpcsvse@freecharge&pn=FreechargeMerchant&mc=5331&cu=INR
